Time (s),Voltage (V)
45.44,0.002
45.480000000000004,0.0
45.52,0.0
45.56,0.002
45.6,0.002
45.64,0.002
45.68,0.0
45.72,-0.004
45.76,-0.004
45.800000000000004,-0.004
45.84,-0.006
45.88,-0.006
45.92,0.0
45.96,0.004
46.0,0.0
46.04,-0.004
46.08,-0.002
46.12,0.0
46.160000000000004,0.0
46.2,0.0
46.24,0.0
46.28,0.002
46.32,0.004
46.36,0.0
46.4,0.0
46.44,-0.004
46.480000000000004,-0.004
46.52,-0.002
46.56,0.0
46.6,0.0
46.64,0.002
46.68,0.002
46.72,0.0
46.76,0.0
46.800000000000004,0.002
46.84,0.004
46.88,0.004
46.92,0.002
46.96,0.002
47.0,0.0
47.04,0.0
47.08,-0.006
47.12,-0.004
47.160000000000004,0.0
47.2,0.002
47.24,0.0
47.28,-0.004
47.32,-0.002
47.36,0.0
47.4,0.0
47.44,-0.002
47.480000000000004,0.0
47.52,0.0
47.56,0.004
47.6,0.004
47.64,0.002
47.68,0.0
47.72,0.0
47.76,-0.002
47.800000000000004,-0.004
47.84,-0.002
47.88,0.002
47.92,0.0
47.96,-0.004
48.0,0.0
48.04,0.002
48.08,0.0
48.120000000000005,0.002
48.160000000000004,0.004
48.2,0.002
48.24,0.002
48.28,0.002
48.32,-0.002
48.36,-0.004
48.4,0.002
48.44,0.0
48.480000000000004,-0.004
48.52,-0.002
48.56,0.004
48.6,0.0
48.64,-0.004
48.68,0.0
48.72,0.0
48.76,0.0
48.800000000000004,0.004
48.84,0.006
48.88,0.0
48.92,0.002
48.96,0.004
49.0,0.0
49.04,-0.004
49.08,0.0
49.120000000000005,0.0
49.160000000000004,-0.004
49.2,-0.002
49.24,0.0
49.28,0.0
49.32,-0.002
49.36,0.004
49.4,0.002
49.44,0.002
49.480000000000004,0.004
49.52,0.004
49.56,0.0
49.6,0.0
49.64,0.002
49.68,-0.004
49.72,-0.006
49.76,-0.002
49.800000000000004,0.002
49.84,0.0
49.88,-0.002
49.92,-0.002
49.96,-0.004
50.0,-0.002
50.04,0.002
50.08,0.002
50.120000000000005,0.0
50.160000000000004,0.004
50.2,0.004
50.24,0.002
50.28,0.0
50.32,0.002
50.36,0.0
50.4,-0.004
50.44,0.0
50.480000000000004,0.0
50.52,0.0
50.56,-0.004
50.6,0.0
50.64,0.0
50.68,0.002
50.72,0.004
50.76,0.004
50.800000000000004,0.002
50.84,0.004
50.88,0.004
50.92,-0.004
50.96,-0.004
51.0,0.0
51.04,0.004
51.08,0.0
51.120000000000005,0.0
51.160000000000004,0.0
51.2,-0.004
51.24,-0.004
51.28,-0.002
51.32,-0.004
51.36,-0.002
51.4,0.002
51.44,0.004
51.480000000000004,0.004
51.52,0.0
51.56,0.0
51.6,-0.002
51.64,-0.002
51.68,0.0
51.72,0.0
51.76,0.0
51.800000000000004,-0.002
51.84,-0.004
51.88,-0.004
51.92,-0.002
51.96,0.0
52.0,0.002
52.04,0.004
52.08,0.004
52.120000000000005,0.004
52.160000000000004,0.0
52.2,0.0
52.24,0.002
52.28,0.004
52.32,0.002
52.36,0.0
52.4,0.002
52.44,0.0
52.480000000000004,-0.002
52.52,-0.004
52.56,-0.004
52.6,-0.004
52.64,-0.002
52.68,0.002
52.72,0.002
52.76,0.002
52.800000000000004,0.002
52.84,0.0
52.88,0.0
52.92,0.0
52.96,0.002
53.0,0.0
53.04,0.0
53.08,0.0
53.120000000000005,-0.004
53.160000000000004,-0.004
53.2,0.0
53.24,0.0
53.28,0.0
53.32,0.002
53.36,0.004
53.4,0.0
53.44,0.0
53.480000000000004,0.002
53.52,0.004
53.56,0.0
53.6,0.002
53.64,0.002
53.68,0.0
53.72,0.0
53.76,0.0
53.800000000000004,-0.006
53.84,-0.008
53.88,0.0
53.92,0.0
53.96,-0.002
54.0,0.0
54.04,0.004
54.08,0.0
54.120000000000005,0.0
54.160000000000004,0.002
54.2,0.0
54.24,0.002
54.28,0.004
54.32,0.002
54.36,-0.004
54.4,0.0
54.44,0.0
54.480000000000004,-0.004
54.52,-0.004
54.56,0.004
54.6,0.002
54.64,-0.004
54.68,0.004
54.72,0.004
54.76,0.0
54.800000000000004,-0.002
54.84,0.002
54.88,0.002
54.92,0.004
54.96,0.006
55.0,0.0
55.04,-0.004
55.08,-0.004
55.120000000000005,-0.002
55.160000000000004,-0.004
55.2,-0.006
55.24,0.0
55.28,0.0
55.32,0.0
55.36,0.0
55.4,0.0
55.44,-0.002
55.480000000000004,0.0
55.52,0.002
55.56,0.002
55.6,0.0
55.64,0.002
55.68,0.0
55.72,-0.004
55.76,-0.002
55.800000000000004,0.0
55.84,-0.002
55.88,-0.002
55.92,0.002
55.96,0.002
56.0,-0.002
56.04,-0.002
56.08,0.0
56.120000000000005,0.0
56.160000000000004,0.004
56.2,0.008
56.24,0.004
56.28,0.0
56.32,0.002
56.36,0.002
56.4,-0.002
56.44,-0.004
56.480000000000004,-0.002
56.52,0.0
56.56,0.0
56.6,0.0
56.64,-0.002
56.68,-0.004
56.72,-0.004
56.76,0.0
56.800000000000004,0.0
56.84,0.002
56.88,0.004
56.92,0.002
56.96,0.0
57.0,0.0
57.04,0.0
57.08,-0.002
57.120000000000005,0.0
57.160000000000004,0.0
57.2,0.0
57.24,0.0
57.28,-0.004
57.32,-0.004
57.36,-0.004
57.4,0.0
57.44,0.002
57.480000000000004,0.002
57.52,0.004
57.56,0.006
57.6,0.004
57.64,0.0
57.68,-0.002
57.72,0.0
57.76,0.002
57.800000000000004,0.0
57.84,-0.002
57.88,-0.004
57.92,-0.002
57.96,-0.004
58.0,-0.004
58.04,0.0
58.08,0.0
58.120000000000005,0.004
58.160000000000004,0.004
58.2,0.0
58.24,0.0
58.28,0.002
58.32,0.0
58.36,0.0
58.4,0.004
58.44,0.002
58.480000000000004,0.0
58.52,-0.002
58.56,0.0
58.6,-0.002
58.64,-0.004
58.68,-0.002
58.72,-0.004
58.76,0.0
58.800000000000004,0.002
58.84,0.006
58.88,0.0
58.92,-0.002
58.96,0.004
59.0,0.004
59.04,0.0
59.08,0.0
59.120000000000005,0.002
59.160000000000004,0.0
59.2,-0.002
59.24,-0.004
59.28,-0.004
59.32,-0.004
59.36,0.0
59.4,0.0
59.44,-0.004
59.480000000000004,0.0
59.52,0.002
59.56,0.0
59.6,0.0
59.64,0.004
59.68,0.004
59.72,0.002
59.76,0.002
59.800000000000004,0.004
59.84,0.002
59.88,0.0
59.92,-0.004
59.96,-0.006
60.0,-0.002
60.04,0.004
60.08,0.002
60.120000000000005,-0.004
60.160000000000004,0.0
60.2,0.004
60.24,0.002
60.28,0.0
60.32,0.002
60.36,0.004
60.4,0.002
60.44,0.002
60.480000000000004,0.002
60.52,-0.004
60.56,0.0
60.6,-0.002
60.64,-0.004
60.68,-0.004
60.72,0.0
60.76,0.0
60.800000000000004,-0.004
60.84,-0.004
60.88,0.0
60.92,-0.004
60.96,-0.002
61.0,0.004
61.04,0.006
61.08,0.004
61.120000000000005,0.002
61.160000000000004,0.0
61.2,-0.006
61.24,0.0
61.28,0.002
61.32,-0.002
61.36,-0.004
61.4,0.0
61.44,0.004
61.480000000000004,-0.002
61.52,-0.002
61.56,0.0
61.6,0.002
61.64,0.002
61.68,0.006
61.72,0.002
61.76,0.002
61.800000000000004,0.002
61.84,0.0
61.88,-0.002
61.92,0.0
61.96,0.004
62.0,0.0
62.04,-0.004
62.08,0.0
62.120000000000005,-0.004
62.160000000000004,-0.006
62.2,-0.004
62.24,0.0
62.28,0.002
62.32,0.004
62.36,0.004
62.4,0.0
62.440000000000005,0.0
62.480000000000004,0.004
62.52,0.002
62.56,0.0
62.6,-0.002
62.64,0.002
62.68,0.002
62.72,-0.002
62.76,-0.004
62.800000000000004,-0.004
62.84,-0.002
62.88,0.0
62.92,0.002
