Time (s),Voltage (V)
584.28,-0.006
584.32,-0.006
584.36,-0.006
584.4,-0.008
584.44,-0.008
584.48,-0.01
584.52,-0.012
584.5600000000001,-0.008
584.6,-0.004
584.64,-0.006
584.6800000000001,-0.008
584.72,-0.008
584.76,-0.008
584.8000000000001,-0.004
584.84,-0.004
584.88,0.0
584.92,0.0
584.96,-0.002
585.0,-0.004
585.04,-0.004
585.08,-0.006
585.12,-0.004
585.16,-0.004
585.2,-0.006
585.24,-0.004
585.28,-0.002
585.32,-0.004
585.36,-0.008
585.4,-0.008
585.44,-0.006
585.48,-0.004
585.52,-0.002
585.5600000000001,0.0
585.6,0.0
585.64,0.0
585.6800000000001,0.0
585.72,-0.002
585.76,-0.006
585.8000000000001,-0.004
585.84,0.002
585.88,-0.002
585.92,-0.008
585.96,-0.004
586.0,0.0
586.04,-0.004
586.08,-0.004
586.12,0.0
586.16,0.0
586.2,0.0
586.24,0.004
586.28,0.002
586.32,0.0
586.36,0.0
586.4,0.0
586.44,-0.004
586.48,-0.002
586.52,0.002
586.5600000000001,0.0
586.6,-0.006
586.64,-0.006
586.6800000000001,-0.004
586.72,-0.004
586.76,-0.006
586.8000000000001,0.0
586.84,0.0
586.88,0.002
586.92,0.002
586.96,0.0
587.0,-0.004
587.04,0.0
587.08,0.004
587.12,-0.004
587.16,-0.006
587.2,0.0
587.24,0.0
587.28,-0.004
587.32,-0.004
587.36,-0.002
587.4,-0.002
587.44,-0.002
587.48,0.002
587.52,0.004
587.5600000000001,0.0
587.6,0.0
587.64,0.0
587.6800000000001,-0.004
587.72,0.0
587.76,0.002
587.8000000000001,0.0
587.84,-0.004
587.88,0.0
587.92,0.0
587.96,-0.006
588.0,-0.008
588.04,-0.008
588.08,-0.006
588.12,-0.002
588.16,0.0
588.2,-0.002
588.24,-0.002
588.28,0.0
588.32,0.002
588.36,-0.006
588.4,-0.008
588.44,-0.002
588.48,0.0
588.52,-0.004
588.5600000000001,-0.006
588.6,-0.006
588.64,-0.006
588.6800000000001,-0.008
588.72,-0.004
588.76,0.0
588.8000000000001,0.0
588.84,0.0
588.88,0.0
588.92,0.0
588.96,0.0
589.0,0.0
589.04,0.0
589.08,-0.002
589.12,0.0
589.16,0.004
589.2,0.0
589.24,-0.004
589.28,-0.006
589.32,-0.006
589.36,-0.004
589.4,-0.004
589.44,-0.002
589.48,0.0
589.52,0.002
589.5600000000001,0.002
589.6,-0.004
589.64,-0.006
589.6800000000001,0.0
589.72,0.002
589.76,-0.004
589.8000000000001,-0.006
589.84,-0.004
589.88,-0.006
589.92,-0.008
589.96,-0.008
590.0,-0.006
590.04,-0.006
590.08,-0.004
590.12,0.0
590.16,0.0
590.2,-0.004
590.24,-0.002
590.28,-0.004
590.32,-0.006
590.36,0.0
590.4,0.004
590.44,0.0
590.48,-0.002
590.52,-0.004
590.5600000000001,-0.006
590.6,-0.004
590.64,-0.004
590.6800000000001,-0.006
590.72,-0.006
590.76,0.0
590.8000000000001,0.0
590.84,-0.004
590.88,-0.004
590.92,0.002
590.96,0.0
591.0,-0.004
591.04,0.0
591.08,0.0
591.12,0.0
591.16,-0.004
591.2,-0.006
591.24,-0.008
591.28,-0.008
591.32,-0.004
591.36,-0.004
591.4,-0.004
591.44,0.0
591.48,0.0
591.52,-0.006
591.5600000000001,-0.004
591.6,0.002
591.64,0.0
591.6800000000001,0.0
591.72,0.0
591.76,0.0
591.8000000000001,0.0
591.84,0.0
591.88,-0.004
591.92,-0.008
591.96,-0.008
592.0,0.0
592.04,-0.002
592.08,-0.006
592.12,0.0
592.16,0.002
592.2,-0.002
592.24,-0.004
592.28,0.0
592.32,0.0
592.36,0.0
592.4,0.0
592.44,-0.004
592.48,-0.006
592.52,-0.004
592.5600000000001,-0.004
592.6,-0.006
592.64,-0.006
592.6800000000001,-0.004
592.72,-0.002
592.76,-0.004
592.8000000000001,-0.002
592.84,0.0
592.88,-0.004
592.92,-0.004
592.96,0.0
593.0,0.0
593.04,0.004
593.08,0.002
593.12,-0.002
593.16,-0.006
593.2,-0.002
593.24,-0.002
593.28,-0.004
593.32,-0.006
593.36,0.0
593.4,0.002
593.44,0.0
593.48,-0.004
593.52,0.0
593.5600000000001,0.002
593.6,0.0
593.64,0.0
593.6800000000001,0.002
593.72,0.0
593.76,0.0
593.8000000000001,-0.002
593.84,-0.006
593.88,-0.008
593.92,-0.004
593.96,-0.002
594.0,-0.004
594.04,-0.004
594.08,-0.002
594.12,-0.004
594.16,-0.008
594.2,-0.006
594.24,0.0
594.28,0.0
594.32,0.0
594.36,0.0
594.4,-0.002
594.44,0.0
594.48,-0.002
594.52,-0.006
594.5600000000001,-0.008
594.6,-0.004
594.64,0.0
594.6800000000001,-0.002
594.72,-0.006
594.76,0.0
594.8000000000001,0.0
594.84,-0.004
594.88,0.0
594.92,0.004
594.96,0.002
595.0,0.004
595.04,0.002
595.08,-0.002
595.12,-0.006
595.16,-0.004
595.2,-0.002
595.24,-0.004
595.28,-0.002
595.32,0.0
595.36,-0.004
595.4,-0.006
595.44,-0.004
595.48,0.0
595.52,-0.002
595.5600000000001,0.0
595.6,0.0
595.64,0.0
595.6800000000001,0.002
595.72,0.004
595.76,-0.006
595.8000000000001,-0.008
595.84,0.0
595.88,0.0
595.92,-0.006
595.96,-0.006
596.0,-0.002
596.04,-0.004
596.08,-0.004
596.12,-0.002
596.16,0.0
596.2,0.0
596.24,0.002
596.28,0.002
596.32,-0.002
596.36,0.0
596.4,0.0
596.44,0.0
596.48,-0.004
596.52,-0.002
596.5600000000001,0.0
596.6,-0.002
596.64,-0.004
596.6800000000001,-0.002
596.72,-0.004
596.76,-0.006
596.8000000000001,-0.004
596.84,-0.004
596.88,0.0
596.92,0.004
596.96,0.002
597.0,-0.004
597.04,-0.004
597.08,0.0
597.12,0.0
597.16,-0.006
597.2,-0.004
597.24,-0.002
597.28,-0.002
597.32,-0.004
597.36,-0.004
597.4,-0.004
597.44,-0.002
597.48,0.0
597.52,0.002
597.5600000000001,0.0
597.6,0.004
597.64,0.004
597.6800000000001,0.0
597.72,-0.004
597.76,-0.004
597.8000000000001,0.0
597.84,0.0
597.88,-0.002
597.92,0.0
597.96,-0.002
598.0,-0.004
598.04,-0.006
598.08,-0.004
598.12,-0.002
598.16,0.0
598.2,0.0
598.24,-0.002
598.28,0.0
598.32,0.002
598.36,0.0
598.4,-0.008
598.44,-0.006
598.48,-0.002
598.52,-0.002
598.5600000000001,-0.004
598.6,-0.006
598.64,-0.006
598.6800000000001,-0.006
598.72,-0.004
598.76,-0.002
598.8000000000001,0.0
598.84,0.002
598.88,0.004
598.92,0.002
598.96,-0.004
599.0,-0.002
599.04,0.002
599.08,0.0
599.12,0.0
599.16,0.0
599.2,0.0
599.24,-0.002
599.28,-0.002
599.32,-0.004
599.36,-0.004
599.4,0.0
599.44,0.0
599.48,0.0
599.52,0.002
599.5600000000001,0.004
599.6,0.0
599.64,-0.006
599.6800000000001,-0.002
599.72,0.002
599.76,0.0
599.8000000000001,-0.002
599.84,0.0
599.88,-0.006
599.92,-0.006
599.96,-0.004
600.0,-0.006
600.04,-0.006
600.08,-0.002
600.12,0.004
600.16,0.0
600.2,0.0
600.24,0.0
600.28,0.0
600.32,-0.004
600.36,-0.004
600.4,0.0
600.44,0.0
600.48,0.0
600.52,0.0
600.5600000000001,-0.004
600.6,-0.004
600.64,-0.002
600.6800000000001,-0.004
600.72,-0.006
600.76,0.002
600.8000000000001,0.004
600.84,-0.002
600.88,-0.004
600.92,0.002
600.96,0.004
601.0,0.0
601.04,0.0
601.08,0.0
601.12,-0.002
601.16,0.0
601.2,-0.002
601.24,-0.008
601.28,-0.008
601.32,-0.002
601.36,0.0
601.4,-0.002
601.44,0.0
601.48,0.002
601.52,0.004
601.5600000000001,0.0
601.6,0.0
601.64,-0.002
601.6800000000001,0.0
601.72,0.004
601.76,0.0
601.8000000000001,-0.002
601.84,0.0
601.88,-0.002
601.92,-0.006
601.96,-0.006
602.0,0.0
602.04,0.0
602.08,-0.004
602.12,-0.002
602.16,0.004
602.2,0.002
602.24,0.0
602.28,0.0
602.32,-0.002
602.36,0.0
602.4,0.002
602.44,0.0
602.48,-0.006
602.52,-0.006
602.5600000000001,-0.004
602.6,-0.004
602.64,-0.004
602.6800000000001,-0.004
602.72,0.0
602.76,0.002
602.8000000000001,0.0
602.84,-0.002
602.88,0.0
602.92,0.0
602.96,0.0
603.0,-0.002
603.04,0.0
603.08,0.0
603.12,0.0
603.16,-0.004
603.2,-0.004
603.24,-0.004
603.28,-0.002
603.32,-0.004
603.36,-0.002
603.4,0.002
603.44,0.004
603.48,0.0
603.52,0.0
603.5600000000001,0.002
603.6,0.002
603.64,0.004
603.6800000000001,0.004
603.72,-0.002
603.76,-0.004
603.8000000000001,0.0
603.84,-0.002
603.88,-0.008
603.92,-0.008
603.96,0.0
604.0,0.0
604.04,0.0
604.08,0.0
604.12,0.0
604.16,-0.002
604.2,-0.002
604.24,0.0
604.28,-0.002
604.32,0.0
604.36,0.004
604.4,-0.002
604.44,-0.006
604.48,-0.004
604.52,-0.004
604.5600000000001,-0.008
604.6,-0.004
604.64,0.0
604.6800000000001,-0.002
604.72,-0.004
604.76,-0.002
604.8000000000001,0.0
604.84,0.0
604.88,0.004
604.92,0.004
604.96,0.0
605.0,0.0
605.04,0.006
605.08,0.0
